Term,Count,Data
police,9.68187679850186,1
have,0.01182502700167566,1
stopped,9.84392836154326,1
people,0.3124456348855272,1
going,1.584962500721156,1
in,0.0,1
and,0.0,1
out,1.3303265603287384,1
of,0.0,1
the,0.0,1
ukrainian,109.60410081040516,1
town,27.121283825412988,1
pochayiv,396.9879080708157,1
after,0.8504080364445704,1
an,0.6009334830536335,1
outbreak,5.398662194553092,1
at,0.10424955865655404,1
one,2.418694185579968,1
largest,14.823642508798851,1
orthodox,292.27760216108044,1
monasteries,99.24697701770393,1
eastern,8.088788238716907,1
europe,14.067021609082115,1
dozens,23.935334248054943,1
including,5.884519476608033,1
priests,182.67350135067528,1
contracted,89.20674140913516,1
coronavirus,0.10465363458019558,1
some,0.6332322366110608,1
died,10.917429645526687,1
where,2.935484393802433,1
500-year-old,14.088788238716907,1
lavra,347.36441956196376,1
is,0.027025891714428426,1
situated,99.24697701770393,1
it,0.19781414215836163,1
most,1.914161067822733,1
popular,35.90500231892766,1
pilgrimage,73.06940054027011,1
sites,30.023021891371762,1
for,0.27854716293143744,1
christians,73.06940054027011,1
from,0.06303200942700667,1
whole,5.913862556216229,1
region,5.913862556216229,1
authorities,17.07261792037058,1
had,1.660329256208979,1
already,4.2598812989565635,1
sealed,10.918863237274595,1
off,12.097607773505752,1
another,6.188105012022503,1
ancient,148.87046552655588,1
shrine,148.87046552655588,1
150,50.89182406283629,1
virus,0.8504080364445704,1
kyiv-pechersk,99.24697701770393,1
best-known,12.088788238716907,1
shrines,12.088788238716907,1
ukraine,45.03453283705764,1
russia,38.55586839473065,1
blocked,12.088788238716907,1
routes,59.61078719715332,1
western,16.525145419707197,1
on,0.030897530554950307,1
tuesday,20.04609339040372,1
monastery,292.27760216108044,1
which,0.23660926023358697,1
inside,27.713506606683215,1
but,0.20849911731310808,1
surrounded,73.06940054027011,1
by,0.15258370124553888,1
wall,73.06940054027011,1
was,0.20108974641237326,1
closed,16.525145419707197,1
to,0.0,1
public,6.389821948434845,1
(monastery),99.24697701770393,1
belongs,99.24697701770393,1
branch,99.24697701770393,1
russian,39.77306072260413,1
church,59.61078719715332,1
hundreds,15.725521650538873,1
thousands,6.188105012022503,1
pilgrims,14.167398073413272,1
visit,20.95684552972425,1
every,6.734015139394798,1
year,6.188105012022503,1
poland,73.06940054027011,1
moldova,21.13318235807536,1
belarus,99.24697701770393,1
as,0.15143115993031891,1
far,5.236685281526361,1
away,7.201613788751187,1
bulgaria,12.088788238716907,1
denied,51.40782452630754,1
there,1.7779251086853034,1
been,0.37659264625157646,1
long,15.640450955994046,1
ago,5.041664326602881,1
late,6.918863237274595,1
march,3.0605319513174596,1
president,5.024212257384521,1
igor,99.24697701770393,1
dodon,99.24697701770393,1
said,0.6329473295905084,1
who,0.5534430854029931,1
visited,65.42849517080496,1
covid-19,0.7641678229009397,1
has,0.032542578973093206,1
a,0.0,1
population,10.008688740520855,1
8,7.7489382358322825,1
000,1.5552151573271038,1
thought,8.389399817744604,1
that,0.27854716293143744,1
will,1.423615533082517,1
contact,16.525145419707197,1
with,0.016271289486546603,1
many,1.903077163012649,1
residents,9.13318235807536,1
ukraine's,10.918863237274595,1
government,0.896071396726022,1
not,0.9087813988719191,1
access,27.713506606683215,1
premises,73.06940054027011,1
conduct,44.60337070456758,1
testing,6.188105012022503,1
over,2.0,1
time,2.1815181531010386,1
rumours,50.89182406283629,1
emerged,7.4449320489421815,1
increasing,32.71424758540248,1
number,2.2750070474998703,1
monks,99.24697701770393,1
become,8.73785376125917,1
infected,11.002951603762204,1
case,12.70918959107004,1
situation,5.169925001442312,1
changed,35.90500231892766,1
last,1.914161067822733,1
week,2.474078394601699,1
when,1.5293924763780675,1
four,7.027268948042631,1
live,7.027268948042631,1
tested,7.027268948042631,1
positive,5.690872640123526,1
before,4.439039471219017,1
easter,35.90500231892766,1
weekend,19.68785672308652,1
regional,25.70391226315377,1
urged,23.935334248054943,1
close,12.097607773505752,1
its,2.4011797630420624,1
doors,32.71424758540248,1
holiday,8.4740783946017,1
making,10.988244469972477,1
clear,20.95684552972425,1
living,4.801075859167458,1
however,5.024212257384521,1
believers,12.088788238716907,1
defiance,12.088788238716907,1
ban,27.713506606683215,1
20,10.988244469972477,1
april,4.8543880939690665,1
reported,4.087994253755606,1
13,39.77306072260413,1
new,2.815152202694561,1
patients,10.988244469972477,1
were,0.4221548244073739,1
diagnosed,32.71424758540248,1
43-year-old,73.06940054027011,1
woman,8.918863237274595,1
"""regional",99.24697701770393,1
made,4.820767256374493,1
decision,30.023021891371762,1
completely,30.023021891371762,1
block,12.088788238716907,1
22,23.935334248054943,1
"""",1.2016137887511866,1
volodymyr,73.06940054027011,1
stefanskyi,99.24697701770393,1
head,15.640450955994046,1
council,20.95684552972425,1
told,2.294088714567101,1
bbc,3.1905118206398497,1
news,3.748938235832282,1
leaders,31.43526829458638,1
they,0.3445122516152724,1
worshippers:,99.24697701770393,1
"""take",73.06940054027011,1
children,12.70918959107004,1
you,4.088788238716907,1
should,6.734015139394798,1
all,1.209347092789984,1
leave,23.935334248054943,1
nobody,50.89182406283629,1
walks,50.89182406283629,1
through,3.830222204826974,1
territory,99.24697701770393,1
if,2.180395617943156,1
we,1.8314349420432574,1
do,3.3736842294807396,1
be,0.37282624846176277,1
great,20.95684552972425,1
trouble,9.444932048942182,1
provides,73.06940054027011,1
